GeneSymbol	Accession	logFC_Pr	pvals_Pr	UniquePeptides	controlOE1	controlOE2	controlOE3	controlOE4	Foxk1OE1	Foxk1OE2	Foxk1OE3	Foxk1OE4
Eif2b4	Q61749	0.2019137	0.06124888	10	1.032	1.001	0.95	1.051	1.146	1.188	1.224	1.082
Eif2b5	Q8CHW4	0.1894723	0.0610845	6	1.04	0.982	1.064	0.954	1.195	1.189	1.065	1.158
Eif2d	Q61211	-0.01530145	0.756071	7	0.986	0.98	0.979	1.036	0.966	1.039	0.987	0.947
Eif2s1	Q6ZWX6	0.1501235	0.1484114	15	1.009	0.998	1.006	0.981	1.171	0.998	1.039	1.224
Eif2s2	Q99L45	0.3105625	0.03286537	11	1.014	1.038	0.988	0.936	1.182	1.134	1.343	1.272
Eif2s3x	Q9Z0N1	0.07572733	0.1164189	14	1.015	0.965	0.962	1.066	1.082	1.065	1.027	1.05
Eif3a	P23116	0.1070432	0.4188034	40	1.05	0.944	0.979	1.052	1.038	1.211	1.136	0.95
Eif3b	Q8JZQ9	0.09999098	0.06776653	22	0.961	1.053	0.981	1.018	1.098	1.089	1.007	1.107
Eif3c	Q8R1B4	0.03590482	0.3765122	24	1.013	0.955	0.992	1.048	1.061	1.034	0.959	1.055
Eif3d	O70194	-0.0141602	0.1818993	11	0.98	1.017	0.987	1.009	0.96	1.017	0.987	0.99
Eif3e	P60229	0.02135783	0.7006782	15	1.011	0.971	1.003	1.038	1.111	0.948	0.943	1.081
Eif3f	Q9DCH4	0.2141122	0.1422006	11	0.987	1.015	1.058	0.884	1.233	1.01	1.113	1.219
Eif3g	Q9Z1D1	0.1195116	0.1262686	6	1.02	1.042	0.989	0.932	1.118	1.042	1.042	1.125
Eif3h	Q91WK2	0.09328987	0.01660626	12	1.013	1.028	0.998	0.958	1.074	1.06	1.095	1.035
Eif3i	Q9QZD9	0.1866121	0.204312	12	0.967	1.05	1.067	0.87	1.02	1.014	1.242	1.224
Eif3j1	Q3UGC7	0.3769929	0.1280296	8	1.018	1.044	1.063	0.823	1.396	1.057	1.199	1.475
Eif3k	Q9DBZ5	0.1311645	0.4929591	7	0.967	1.011	1.077	0.864	1.205	0.904	0.964	1.219
Eif3l	Q8QZY1	0.03133321	0.4893348	15	0.986	0.989	1	1.033	1.066	0.988	0.955	1.087
Eif3m	Q99JX4	0.08471304	0.6269899	5	0.995	0.979	1.065	0.946	1.234	0.92	0.87	1.202
Eif4a1	P60843	0.07492093	0.2910469	6	1.002	0.987	0.994	1.013	1.125	0.979	0.965	1.14
Eif4a2	P10630	-0.5611099	0.001111952	3	1.012	1.049	0.968	0.99	0.716	0.648	0.661	0.699
Emc2	Q9CRD2	0.03545588	0.6585117	7	1.005	0.96	1.059	0.955	1.077	0.906	0.995	1.1
Emc3	Q99KI3	-0.1126957	0.04969878	5	1.002	1.02	0.979	1.058	0.963	0.886	0.944	0.961
Emc4	Q9CZX9	-0.03105833	0.1080494	4	0.967	1.001	0.976	1.047	0.972	0.962	0.948	1.024
Emc6	Q9CQW0	-0.1767988	0.02695382	2	1.048	0.951	0.991	0.981	0.863	0.841	0.875	0.934
Emc7	Q9EP72	0.06878837	0.2079142	7	1.005	0.993	1.038	0.957	1.094	0.971	1.057	1.066
Emc8	O70378	0.2077327	0.1821121	9	0.962	1.028	1.069	0.841	1.158	0.995	1.138	1.213
Emc9	Q9DB76	-0.08834823	0.2760457	2	1.011	1.032	1.015	0.915	0.925	0.919	0.905	0.988
Emd	O08579	-0.006991776	0.9533163	5	1.029	0.923	1.098	0.88	1.054	0.849	0.939	1.069
Emilin1	Q99K41	0.2700356	0.0296078	10	1.054	0.99	1.003	0.893	1.122	1.194	1.323	1.112
Eml1	Q05BC3	-0.4683318	0.004333556	4	0.982	0.979	1.023	0.959	0.753	0.743	0.646	0.708
Eml2	Q7TNG5	0.1088563	0.07065106	8	1.044	1.004	0.992	0.992	1.086	1.132	1.12	1.01
Eml3	Q8VC03	-0.1503466	0.2432217	10	1.034	0.952	0.985	1.091	0.907	1.036	0.878	0.839
Eml4	Q3UMY5	0.1151469	0.1446811	9	1.013	0.977	0.964	1.078	1.085	1.172	1.045	1.065
Enah	Q03173	-0.1254322	0.09023816	4	0.947	0.953	1.048	1.039	0.929	0.912	0.942	0.872
Endod1	Q8C522	-0.06224717	0.3318311	6	1.113	0.979	0.983	0.927	0.975	0.981	0.924	0.953
Endog	O08600	-0.3664832	0.08490005	2	0.96	1.113	0.935	1.053	0.653	0.921	0.939	0.637
Engase	Q8BX80	-0.1084294	0.3332579	3	1.085	1.006	0.936	1.006	0.832	1.007	0.965	0.937
Eno1	P17182	0.4439913	0.005254643	15	1.054	1.009	1.035	0.873	1.407	1.259	1.376	1.36
Eno2	P17183	0.6837263	0.005381995	1	1.146	0.953	1.077	0.771	1.878	1.383	1.561	1.518
Eno3	P21550	-1.005438	0.000208068	4	0.97	0.993	1.049	0.975	0.493	0.443	0.524	0.526
Enoph1	Q8BGB7	0.09279051	0.4912787	4	0.969	1.013	1.072	0.905	1.101	0.935	1.008	1.178
Enpp4	Q8BTJ4	0.02061803	0.8717921	3	1.004	1.002	1.037	0.917	1.134	0.833	0.963	1.087
Ensa	P60840	-0.1794744	0.004923791	4	0.988	1.03	1.037	0.886	0.838	0.944	0.905	0.793
Entpd5	Q9WUZ9	0.07256184	0.09723487	6	1.007	1.035	0.974	0.997	1.009	1.119	1.066	1.026
Eny2	Q9JIX0	-0.03516263	0.8094092	1	0.911	0.945	1.092	1.039	1.055	0.737	0.939	1.16
Eogt	Q8BYW9	0.04385646	0.5430432	3	1.016	1.009	0.996	0.964	1.111	0.958	0.954	1.085
Ep300	B2RWS6	0.1079504	0.5645904	3	1.107	0.919	0.977	1.077	1.041	1.348	1.045	0.963
Ep400	Q8CHI8	0.004215328	0.9829156	4	1.007	0.988	0.926	1.18	0.922	1.163	1.169	0.859
Epb41l1	Q9Z2H5	-0.6970891	0.000118551	22	1.003	1.006	0.99	1.033	0.64	0.629	0.614	0.604
Epb41l2	O70318	-0.6481187	0.000342858	25	0.968	1.008	0.977	1.051	0.608	0.668	0.646	0.633
Epb41l3	Q9WV92	-1.086261	0.00183393	16	0.901	1.012	0.969	1.167	0.449	0.496	0.478	0.484
Epb41l5	Q8BGS1	0.05873667	0.4730189	9	0.97	1.034	0.959	1.08	0.939	1.137	1.113	1.022
Epdr1	Q99M71	-1.006155	0.002593752	5	0.925	1.057	1.032	0.979	0.552	0.447	0.466	0.523
Epg5	Q80TA9	5.042871	0.2846696	1	0	2.199	0.659	0.991	100	24.758	1.021	1.104
Ephb4	P54761	-0.6367649	0.07762319	1	1.063	1.089	0.767	1.178	0.661	0.433	0.778	0.763
Ephx1	Q9D379	-0.04787329	0.457731	15	0.982	1.013	1.006	0.982	0.994	0.909	0.916	1.034
Ephx2	P34914	0.3382921	0.02243835	15	1.008	1.016	0.943	1.048	1.194	1.354	1.34	1.188
Epm2aip1	Q8VEH5	-0.1381154	0.04931811	9	1.004	0.992	1.009	1.004	0.935	0.852	0.873	0.983
Fmnl3	Q6ZPF4	0.6445737	0.1416204	1	0.81	0.82	1.029	1.442	1.487	2.158	1.349	1.417
Fmo1	P50285	-1.764683	0.000487837	8	0.968	1.003	0.947	1.146	0.248	0.323	0.315	0.31
Fmo2	Q8K2I3	-0.4880777	0.01021613	2	0.849	1.062	0.951	1.169	0.655	0.783	0.696	0.74
Fmo5	P97872	-0.3625701	0.03888984	4	1.087	0.896	1.043	1.015	0.798	0.818	0.877	0.65
Fmod	P50608	-0.5402737	0.001615783	1	1.057	0.917	1.037	0.994	0.71	0.656	0.662	0.726
Fmr1	P35922	-0.2418628	0.1402623	12	0.967	0.987	0.972	1.065	0.738	0.984	0.922	0.731
Fn1	P11276	-0.7391199	0.005160882	22	0.97	0.973	0.964	1.114	0.547	0.684	0.609	0.569
Fn3krp	Q8K274	-0.1727125	0.1986228	4	0.993	1.06	0.935	1.027	0.866	1.008	0.959	0.729
Fnbp1	Q80TY0	0.05435268	0.467103	8	1.013	0.959	1.069	0.892	1.037	1.024	0.991	1.032
Fnbp1l	Q8K012	0.9561053	0.001150627	2	0.878	0.932	1.05	1.111	2.019	1.881	1.886	1.918
Fnbp4	Q6ZQ03	0.1389913	0.104215	2	1.054	0.998	1.038	0.875	1.157	1.008	1.109	1.092
Fndc3a	Q8BX90	-0.1229198	0.3101212	7	1.024	0.919	1.02	1.102	0.973	0.98	0.945	0.835
Fndc3b	Q6NWW9	-0.9167716	0.00085062	10	1.007	0.95	0.972	1.045	0.532	0.56	0.523	0.49
Fnip1	Q68FD7	0.2221325	0.1520821	2	0.966	0.977	1.012	1.01	1.22	0.884	1.242	1.279
Fnta	Q61239	0.1759327	0.5136966	2	1.015	1.105	1.073	0.801	1.356	0.93	0.912	1.314
Fntb	Q8K2I1	0.2280796	0.07047536	4	1.046	1.001	1.047	0.993	1.328	1.069	1.109	1.281
Focad	A2AKG8	-0.1618966	0.02887791	9	0.997	1.026	0.986	1.023	0.934	0.957	0.806	0.907
Foxk1	P42128	3.569991	9.60E-05	14	0.982	1.038	0.978	1.167	13.364	11.481	12.207	12.412
Foxk2	Q3UCQ1	0.252968	0.08194217	1	0.818	1.038	1.104	0.995	1.175	1.165	1.124	1.249
Foxo1	Q9R1E0	0.5745599	0.000452959	2	1.04	0.984	1.017	0.949	1.482	1.426	1.523	1.511
Foxo3	Q9WVH4	0.1960115	0.007025351	1	1.012	0.999	0.98	1.022	1.104	1.127	1.164	1.202
Foxp1	P58462	0.03391373	0.5493555	1	0.994	1.038	0.989	0.973	0.99	0.998	1.113	0.988
Foxp4	Q9DBY0	0.4577456	0.5691317	1	1.472	0.954	1.31	0	1.745	0	1.663	1.723
Foxred1	Q3TQB2	0.4458499	0.003461428	12	0.965	1.036	0.944	1.062	1.291	1.406	1.422	1.339
Fpgs	P48760	0.06409902	0.4194557	1	1.005	0.95	1.03	1.021	1.008	1.128	1.081	0.971
Fpgt	G5E8F4	0.005737795	0.8207056	6	1.032	0.96	0.987	1.036	1.04	1.002	0.99	0.999
Frg1	P97376	-0.01954999	0.8344301	4	0.97	1.098	0.927	1.017	0.935	0.987	1.085	0.951
Frmd6	Q8C0V9	-0.7562098	0.02737096	1	0.862	0.951	1.043	1.169	0.648	0.592	0.67	0.473
Frmd8	Q3UFK8	-0.6650968	0.002942213	3	0.939	1.02	1.002	1.046	0.623	0.594	0.718	0.592
FRRS1	Q8K385	0.2772025	0.1562608	2	1.06	1.091	1	0.767	1.126	1.255	1.069	1.298
Fscn1	Q61553	0.06812724	0.1487017	17	0.977	1.045	0.976	1.014	1.076	1.041	1.059	1.03
Fsip2	A2ARZ3	0.1540245	0.2380493	1	1.037	0.999	0.982	0.976	1.212	0.983	0.973	1.276
Fstl1	Q62356	-2.758584	0.02325283	1	0.851	0.97	1.27	0.719	0.302	0	0	0.261
Fstl4	Q5STE3	0.6196696	0.002402749	1	1.002	0.978	1.058	0.891	1.556	1.403	1.517	1.561
Fth1	P09528	0.08587692	0.2750547	7	0.987	1.017	1.053	0.905	1.117	0.987	1.048	1.053
Ftl1	P29391	0.3712405	0.007051398	6	1.045	1.007	1.007	0.904	1.292	1.218	1.299	1.317
Fto	Q8BGW1	0.211767	0.03663851	5	1.004	1.013	1.027	0.947	1.199	1.097	1.115	1.211
Ftsj3	Q9DBE9	-0.1352399	0.3380616	2	0.821	1.108	0.965	1.118	0.756	1.151	0.945	0.801
Fubp1	Q91WJ8	0.4032053	0.000439473	19	0.979	1.003	1.018	0.979	1.349	1.315	1.34	1.258
Fuca1	Q99LJ1	-0.8153602	0.00813837	5	0.92	1.054	0.906	1.141	0.54	0.626	0.604	0.515
Fuca2	Q99KR8	-0.05213819	0.5316764	1	0.978	0.939	0.963	1.177	1.019	0.922	0.98	0.992
Fuk	Q7TMC8	0.1256208	0.05953519	8	1.008	0.951	0.968	1.085	1.083	1.109	1.086	1.099
Fundc2	Q9D6K8	-0.4516747	0.000680685	2	0.984	1.04	0.95	1.014	0.749	0.733	0.711	0.723
Fus	P56959	-0.392026	0.05440779	7	0.934	1.133	0.906	1.049	0.697	0.884	0.861	0.623
Fut11	Q8BHC9	0.02003043	0.8618636	5	0.985	0.977	0.992	1.123	0.94	1.175	1.051	0.968
Fut8	Q9WTS2	0.2059716	0.003046473	11	1.063	1.019	0.957	0.975	1.175	1.198	1.143	1.114
Fxn	O35943	0.06312456	0.8020302	3	1.017	1.088	1.093	0.67	1.198	0.794	0.965	1.084
Fxr1	Q61584	0.1721126	0.004932252	10	0.975	1.032	1.011	0.936	1.086	1.119	1.15	1.1
Fxr2	Q9WVR4	0.1336784	0.03071836	6	0.978	1.034	0.985	0.917	1.112	1.101	1.025	1.056
Fxyd1	Q9Z239	0.08323165	0.443476	1	0.912	0.893	1.059	1.093	1.084	1.066	0.975	1.067
Fyco1	Q8VDC1	-0.6931412	0.000276379	12	1.011	0.98	1.036	1.015	0.618	0.644	0.606	0.632
Fzd1	O70421	-0.1747001	0.09396948	1	1.005	1.006	1.042	0.919	0.932	0.887	0.802	0.898
G3bp1	P97855	-0.05274917	0.2611504	12	1.001	0.991	1.018	0.973	0.963	0.915	0.951	1.011
G3bp2	P97379	-0.03822906	0.4018243	11	0.99	0.997	1.009	0.981	0.911	1.038	1	0.924
G6pdx	Q00612	-0.1614824	0.08240313	23	1.013	1.07	0.949	0.972	0.878	0.941	0.963	0.798
Gaa	P70699	-0.7418252	0.000885025	13	0.989	1.017	0.974	0.985	0.55	0.645	0.646	0.53
Gab1	Q9QYY0	-0.1033469	0.1688645	7	1.064	0.995	1.054	0.894	0.986	0.942	0.888	0.914
Gabarapl1	Q8R3R8	-0.5794366	0.005486241	1	1.025	0.976	0.948	1.09	0.67	0.734	0.663	0.636
Gabarapl2	P60521	0.09922329	0.07101934	2	0.963	0.997	1.009	1.034	1.069	1.004	1.061	1.154
Gabpa	Q00422	0.03283139	0.8874273	2	0.796	1.116	1.083	0.915	1.064	0.977	0.775	1.184
Gabpb1	Q00420	0.4827254	0.03161514	1	1.065	0.981	1.044	0.881	1.367	1.168	1.463	1.551
Gabpb2	P81069	0.0694694	0.5933821	4	0.958	1.1	1.071	0.905	1.094	0.994	0.998	1.147
Gadd45gip1	Q9CR59	0.01761554	0.8431869	5	1.069	0.952	0.954	1.095	0.98	1.028	1.098	1.014
Gak	Q99KY4	-0.0136511	0.6842879	15	1.011	1.01	0.963	1.051	0.979	1.034	0.991	0.993
Gale	Q8R059	-0.2250385	0.04014079	14	1.039	0.987	1.008	0.968	0.909	0.771	0.809	0.935
Galk1	Q9R0N0	0.4100958	0.01109009	10	1.059	1.009	1.012	0.868	1.384	1.201	1.32	1.341
Galk2	Q68FH4	-0.03764395	0.3963854	7	1.013	1.044	0.982	0.999	1.024	0.966	1.009	0.935
Galm	Q8K157	0.3151785	0.002237373	4	1.012	1.03	0.99	0.953	1.211	1.264	1.304	1.179
Galns	Q571E4	-0.07679044	0.06679774	5	0.969	1.045	1.022	0.996	0.954	0.953	0.995	0.921
Galnt1	O08912	-0.2402919	0.002747417	5	1.018	0.995	0.977	1.038	0.848	0.891	0.807	0.864
Galnt2	Q6PB93	0.08106965	0.3614951	14	1.012	0.968	0.996	1.055	1.02	1.143	1.113	0.988
Galnt4	O08832	-0.4234652	0.003198814	5	0.972	0.992	0.972	1.07	0.714	0.772	0.767	0.734
Galnt7	Q80VA0	0.2896046	0.01476664	3	1.007	0.989	0.984	1.037	1.263	1.319	1.115	1.213
Galt	Q03249	-0.6420355	0.005143024	1	0.911	1.092	0.944	1.062	0.623	0.743	0.642	0.561
Gamt	O35969	-1.015803	0.00175069	3	0.948	1.081	1.046	0.872	0.502	0.482	0.493	0.475
Ganab	Q8BHN3	0.3440522	0.01038176	27	1.01	1.012	0.953	1.05	1.272	1.364	1.281	1.192
Ganc	Q8BVW0	-0.1425487	0.1101169	11	1.016	1.006	0.964	1.053	0.885	1	0.916	0.858
Gapdh	P16858	0.6097427	0.00308985	15	1.052	1.078	0.941	0.931	1.495	1.53	1.641	1.441
Gapvd1	Q6PAR5	0.05324461	0.1040542	10	0.995	1.001	0.999	1.048	1.043	1.081	1.015	1.056
Gars	Q9CZD3	0.5533256	0.00154065	17	1.057	0.996	1.012	0.946	1.564	1.374	1.436	1.512
Gart	Q64737	-0.2110328	0.01726197	23	1.025	0.967	0.971	1.064	0.895	0.882	0.856	0.846
Gas1	Q01721	-1.008801	0.006789533	4	0.882	0.969	1.143	0.952	0.496	0.484	0.434	0.547
Gas2	P11862	-0.812373	0.0155227	1	0.798	0.961	1.159	1.042	0.564	0.593	0.518	0.58
Gas2l1	Q8JZP9	-0.184734	0.1981377	2	0.938	0.938	1.033	1.118	0.69	0.799	1.122	0.932
Gas6	Q61592	-1.609343	0.000163447	9	1.014	0.958	1.021	1.065	0.289	0.327	0.387	0.327
Gas7	Q60780	-1.827152	0.000326501	4	0.92	0.971	1.041	1.067	0.264	0.321	0.274	0.268
Gatad2a	Q8CHY6	0.06661117	0.6945486	8	1.065	1.087	0.886	1.004	0.958	1.278	1.165	0.832
Gatad2b	Q8VHR5	-0.02900541	0.7064089	7	0.983	1.037	0.983	0.966	0.905	1.019	1.097	0.869
Gatb	Q99JT1	0.5735634	0.01050857	11	1.008	0.992	0.944	1.122	1.446	1.675	1.523	1.407
Gatc	Q8CBY0	0.6493727	0.04149134	3	1.001	1.011	1.071	0.801	1.739	1.244	1.402	1.707
Gba	P17439	-0.2118025	0.01112488	9	0.951	1.031	0.992	1.098	0.846	0.867	0.901	0.902
Gbas	O55126	0.2900304	0.06628856	7	0.972	1.089	0.904	1.041	1.144	1.336	1.329	1.089
Gbe1	Q9D6Y9	-0.1710481	0.01993139	14	1.041	0.982	0.977	1.016	0.87	0.895	0.918	0.884
Gbp2	Q9Z0E6	-1.133756	3.55E-05	10	1.021	0.966	0.989	1.022	0.46	0.454	0.458	0.45
Gbp4	Q61107	-0.6262857	0.000959816	2	1.092	0.979	0.997	0.987	0.676	0.69	0.616	0.645
Gcat	O88986	0.6526726	0.000932542	7	0.951	0.989	1.037	0.984	1.603	1.438	1.606	1.58
Gcc1	Q9D4H2	-0.124643	0.06023546	8	1.017	0.954	1.049	0.967	0.934	0.924	0.889	0.91
Gcc2	Q8CHG3	0.0633192	0.5023341	20	0.988	1.003	1.066	0.888	1.101	0.961	1	1.06
Gcdh	Q60759	0.3216415	0.00052192	12	1.024	0.963	0.984	1.057	1.287	1.246	1.235	1.266
Gcfc2	Q8BKT3	-0.02336991	0.8239682	1	0.86	1.013	1.064	1.046	1.023	1.016	0.959	0.921
Gchfr	P99025	0.0923041	0.7022081	1	0.999	0.922	1.185	0.814	1.257	0.635	1.094	1.193
Gck	P52792	-0.8290181	0.00433694	7	0.991	1.042	1.057	0.852	0.49	0.531	0.619	0.579
Gclc	P97494	0.0205193	0.2901771	10	1.036	0.972	0.978	1.063	1.068	1.008	0.975	1.056
Gclm	O09172	-0.2072181	0.01531607	4	1.058	0.927	0.98	1.086	0.901	0.872	0.808	0.928
Gcn1	E9PVA8	-0.147226	0.000554816	71	1.017	0.996	0.972	1.035	0.918	0.915	0.873	0.924
Gcsh	Q91WK5	0.3978712	0.3348774	3	0.912	1.077	1.185	0.715	1.781	0.914	1.043	1.386
Gda	Q9R111	-0.3638685	0.002476409	13	1.033	0.98	0.994	0.963	0.815	0.7	0.773	0.797
Gdap2	Q9DBL2	-0.2801338	0.01197175	7	0.987	0.963	1.025	1.014	0.876	0.77	0.767	0.872
Gde1	Q9JL56	0.1965795	0.05090409	6	0.968	0.996	1.005	1.059	1.231	1.089	1.059	1.237
Gdi1	P50396	0.08956328	0.1026536	11	1.039	0.988	0.988	0.982	1.121	0.994	1.024	1.114
Gdi2	Q61598	-0.4053825	0.00011562	14	1.023	0.997	0.984	1.017	0.787	0.726	0.755	0.768
Gdpd2	Q9ESM6	-0.6143507	0.003187292	1	0.887	1.028	0.992	1.11	0.625	0.665	0.675	0.659
Gdpgp1	Q3TLS3	-0.09733062	0.1314647	2	1.003	0.949	1.011	1.053	0.976	0.933	0.855	0.99
Gemin5	Q8BX17	0.05955951	0.2566689	8	0.95	1.032	0.977	1.027	0.997	1.072	1.091	0.994
Get4	Q9D1H7	0.1556143	0.04691597	3	0.957	1.031	0.984	1.058	1.15	1.143	1.007	1.189
Gfer	P56213	0.4134879	0.00936579	4	0.987	1.01	1.048	0.914	1.322	1.271	1.285	1.395
Gfm1	Q8K0D5	0.6732874	0.00010707	23	1.029	0.976	1.002	0.995	1.618	1.627	1.597	1.54
Gfm2	Q8R2Q4	0.3793978	0.000339973	16	1.048	0.977	1.004	0.977	1.345	1.318	1.309	1.239
Gfod1	Q3UHD2	-0.3464242	0.0102015	1	0.895	1.026	1.123	0.891	0.715	0.743	0.869	0.768
Gna12	P27600	0.6250284	0.03956443	1	0.956	0.989	1.043	1.001	1.837	1.217	1.379	1.719
Gna13	P27601	-0.28469	0.005237998	5	1.015	0.968	1.011	0.993	0.853	0.748	0.796	0.876
Gnai2	P08752	-0.813041	0.001767022	6	0.942	0.932	1.016	1.114	0.556	0.578	0.569	0.576
Gnai3	Q9DC51	-0.4699808	0.003275195	4	0.971	0.945	1.019	1.097	0.729	0.736	0.692	0.754
Gnao1	P18872	-1.120139	0.002722574	8	0.959	0.929	1.02	1.122	0.447	0.514	0.471	0.422
Gnaq	P21279	-0.5102933	0.000153668	5	1.016	0.944	1.024	1.007	0.715	0.66	0.694	0.733
Gnas	P63094	-0.410998	0.004407607	9	0.972	0.95	1.046	1.074	0.813	0.695	0.741	0.791
Gnb1	P62874	-0.352124	0.02700797	3	0.95	0.961	1.097	0.963	0.861	0.688	0.77	0.792
Gnb2	P62880	-0.5536679	0.001044893	4	0.997	1.027	1.03	0.959	0.731	0.656	0.677	0.67
Gne	Q91WG8	-0.2727476	0.01798606	9	1.062	0.924	0.994	1.014	0.808	0.847	0.822	0.829
Gng12	Q9DAS9	-0.7014765	0.000322506	4	0.954	0.964	1.025	1.059	0.623	0.587	0.606	0.645
Gng2	P63213	-0.6330443	0.03739412	2	1.043	0.992	1.117	0.753	0.674	0.477	0.684	0.683
Gng5	Q80SZ7	0.1949197	0.214892	1	0.947	1.01	1.077	0.927	1.15	1.096	1.003	1.285
Gng7	Q61016	-0.0966867	0.1337137	1	1.005	0.999	0.985	1.022	0.932	1	0.946	0.873
Gnl1	P36916	-0.02528858	0.5732523	10	0.989	1.009	0.964	1.009	0.972	1.06	0.944	0.926
Gnl2	Q99LH1	0.01941745	0.9305838	4	0.975	0.987	0.924	1.173	0.866	1.27	1.143	0.835
Gnl3	Q8CI11	0.3717863	0.02603376	7	0.924	1.054	0.971	1.004	1.118	1.529	1.297	1.171
Gnl3l	Q6PGG6	0.2916806	0.07895426	3	0.977	1.096	0.925	1.041	1.076	1.383	1.368	1.117
Gnpat	P98192	-0.04003699	0.287909	17	1.011	1.014	0.959	1.035	1.028	0.93	0.927	1.024
Gnpda1	O88958	0.1600822	0.01816098	3	0.98	1.026	0.959	1.006	1.131	1.069	1.094	1.143
Gnpda2	Q9CRC9	-0.1490755	0.08036247	5	0.962	1.05	0.957	1.024	0.916	0.865	0.932	0.888
Gnpnat1	Q9JK38	-0.214211	0.03466172	4	1.027	0.974	1.032	0.982	0.901	0.78	0.835	0.945
Gnptab	Q69ZN6	-0.4700682	0.01059345	2	1.021	0.985	1.007	0.986	0.715	0.85	0.656	0.666
Gnptg	Q6S5C2	-0.3225637	0.05341065	1	1.01	1.16	0.929	0.874	0.831	0.776	0.787	0.783
Gns	Q8BFR4	-0.3464452	0.004066403	8	0.964	1.026	1.033	0.968	0.802	0.748	0.799	0.79
Golga1	Q9CW79	-0.04710058	0.338412	7	0.964	0.983	1.113	0.925	0.935	0.919	1.032	0.971
Golga2	Q921M4	0.2631573	0.07691533	19	0.992	1.027	1.071	0.823	1.216	1.122	1.142	1.216
Golga3	P55937	0.243763	0.02056897	33	1.011	1.02	1.039	0.874	1.215	1.124	1.172	1.159
Golga4	Q91VW5	-0.1097679	0.01166698	31	0.99	0.969	1.037	0.976	0.918	0.918	0.979	0.866
Golga5	Q9QYE6	-0.03864918	0.5530097	20	1.068	0.918	1.005	1.019	0.993	1.007	0.968	0.936
Golga7	Q91W53	0.01353279	0.9356699	2	0.879	1.047	1.118	0.882	1.035	0.958	0.878	1.092
Golim4	Q8BXA1	0.1399575	0.1093279	10	0.959	0.975	1.048	1.023	1.178	0.981	1.113	1.141
Golph3	Q9CRA5	-0.06408177	0.4878076	3	1.066	0.982	1.036	0.967	1.078	0.846	0.898	1.053
Golph3l	Q8R088	-0.5554146	0.01917945	1	0.978	0.909	1.095	1.005	0.708	0.695	0.573	0.737
Golt1b	Q9CR60	-0.05738644	0.2198298	1	1.024	0.99	0.997	1.015	0.97	0.957	0.901	1.041
Gon4l	Q9DB00	0.2033164	0.4310808	1	0.868	0.961	1.013	1.182	1.491	1.102	1.008	1.032
Gon7	P0C8B4	0.551996	0.2551544	2	0.962	0.962	1.243	0.684	1.927	0.928	1.072	1.719
Gopc	Q8BH60	-0.123389	0.2241143	5	0.956	0.991	1.071	0.898	0.969	0.842	0.88	0.904
Gorasp1	Q91X51	0.00257657	0.9871639	3	0.995	1.012	1.078	0.831	1.087	0.896	0.872	1.068
Gorasp2	Q99JX3	0.1173971	0.4508409	7	0.965	1.027	1.09	0.846	1.155	0.932	1.028	1.146
Gosr1	O88630	0.3773495	0.005191263	6	0.989	1.001	1.055	0.872	1.293	1.213	1.312	1.27
Gosr2	O35166	-0.04569838	0.4752251	4	0.987	0.982	1.02	0.988	1.031	0.88	0.929	1.013
Got1	P05201	0.5629362	0.002641522	14	1.003	1.036	0.965	1	1.433	1.462	1.597	1.423
Got2	P05202	-0.04729369	0.3701156	16	1.014	1.018	1.003	0.965	0.984	0.908	0.974	1.005
Gpaa1	Q9WTK3	0.2746655	0.01331913	5	0.993	1.058	0.935	1.029	1.26	1.151	1.164	1.282
Gpam	Q61586	0.1544536	0.02925709	9	1	1.057	0.956	0.987	1.049	1.137	1.12	1.146
Gpat3	Q8C0N2	-0.08687745	0.03505846	8	1.001	1.008	0.964	1.031	0.98	0.909	0.908	0.973
Gpat4	Q8K2C8	-0.2444242	0.02314905	4	1.059	0.947	0.966	1.064	0.844	0.882	0.834	0.847
Gpatch1	Q9DBM1	0.03224628	0.836751	2	0.985	0.993	0.969	1.079	0.902	1.298	0.995	0.922
Gpatch11	Q3UFS4	0.6846767	0.000646443	1	0.895	1.061	1.073	0.921	1.496	1.588	1.633	1.632
Gpatch2	Q7TQC7	0.8428757	0.02520878	2	0.899	2.088	0.855	1.081	2.147	2.38	2.166	2.137
Gpatch8	A2A6A1	0.2650433	0.06350932	4	1.015	1.068	0.996	0.868	1.181	1.206	1.087	1.269
Gpc4	P51655	-0.001445586	0.985112	2	1.024	1.042	0.967	0.961	0.944	1.184	0.95	0.912
Gpcpd1	Q8C0L9	0.2664887	0.000893576	10	1.034	0.973	0.978	0.978	1.223	1.165	1.156	1.223
Gpd1	P13707	0.1453468	0.1715554	17	1.043	0.994	1.03	0.952	1.196	0.985	1.06	1.204
Gpd1l	Q3ULJ0	-0.1935808	0.09065045	11	0.993	1.008	1.034	0.931	0.89	0.836	0.805	0.937
Gpd2	Q64521	0.3012631	0.002699148	35	1.004	0.962	0.991	1.065	1.244	1.239	1.247	1.226
Gstt1	Q64471	-1.229854	8.27E-05	1	0.967	1.01	0.996	1.033	0.446	0.41	0.391	0.461
Gstt3	Q99L20	-1.25073	0.000995124	4	0.944	1.005	1.003	1.041	0.489	0.339	0.392	0.458
Gstz1	Q9WVL0	-0.387853	0.004906703	6	1.048	0.993	0.992	0.98	0.835	0.678	0.74	0.814
